OBJECTID;NUMERO;IMMEUBLE;DESIGNATION;DENOMINATION;COMPLEMENT;ALTITUDE;ANNEE;X;Y;TYP;geo_shape;geo_point_2d
19958;rn14019;27;Rue du;ROI DE SICILE;Angle rue Cloche Perce;36.868;1983;601531.087;128446.642;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.357390016582999, 48.856478178090825]}";48.8564781781,2.35739001658
19959;rn75516;#;Place des;FETES;Sur l'entrée de limmeuble n°1 et 3 rue Henri Ribière;113.07;1992;604283.35;130686.483;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.394921801895051, 48.87660746077723]}";48.8766074608,2.3949218019
19974;rn55006;43;Avenue;ERNEST REYER;#;68.212;1982;599110.492;124656.833;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.324410322620643, 48.82239867797969]}";48.822398678,2.32441032262
19979;rn68035;50;Rue;LEMERCIER;A l'angle de la rue Jacquemont;53.28;1993;598953.337;131894.623;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.322250769379978, 48.88748604476062]}";48.8874860448,2.32225076938
19984;rn30046;#;Avenue des;CHAMPS ELYSEES;Face au n°42 sur l'entrée du métropolitain;35.583;1983;597873.412;129946.617;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.307534556838006, 48.86996533407591]}";48.8699653341,2.30753455684
20016;rn69163;6;Rue de l';ABREUVOIR;Sur le mur de clôture;108.873;1988;600192.741;131975.609;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.339152160039588, 48.88821518204066]}";48.888215182,2.33915216004
20024;rn77098;42;Rue des;COURONNES;#;61.338;1995;603429.473;129933.667;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.383274002902274, 48.869842942680336]}";48.8698429427,2.3832740029
20041;rn03017;39;Rue;CROIX DES PETITS CHAMPS;Face à la rue Coquillière sur la Banque de France;37.995;1982;600279.759;129373.76;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.340337245384971, 48.8648173692352]}";48.8648173692,2.34033724538
20050;rn09016;69;Rue de;TURBIGO;Sur le lycée Turgot;34.512;1983;601647.961;129529.56;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.358987100344076, 48.86621628306728]}";48.8662162831,2.35898710034
20067;rn94166;23;Avenue;DAUMESNIL;94-SAINT-MANDE_ Sur le mur bahut_;50.715;1996;605818.932;125946.862;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.415789904717467, 48.83397267351711]}";48.8339726735,2.41578990472
20121;rn55071;#;Avenue de la;PORTE D'ORLEANS;Près du boulevard Périphérique sur le stade Elisabeth;71.843;1982;599223.178;124434.088;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.325945422120001, 48.82039574184066]}";48.8203957418,2.32594542212
20124;rn61085;6;Rue;DONIZETTI;#;40.013;1994;594757.982;127525.839;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.2650968212948612, 48.848177144555926]}";48.8481771446,2.26509682129
20129;rn14023;#;Place;SAINT-GERVAIS;Angle rue Lobau;35.123;1983;601249.63;128404.279;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.353554141564057, 48.856097857497595]}";48.8560978575,2.35355414156
20176;rn75031;1;Rue de la;PREVOYANCE;Angle rue David d'Angers;76.597;2014;604012.312;131344.684;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.391233004957865, 48.882528327487364]}";48.8825283275,2.39123300496
20219;rn65010;15;Rue;VERNIER;Angle rue Galvani;33.701;1993;596645.644;131496.75;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.290784809909922, 48.88389980970568]}";48.8838998097,2.29078480991
20246;rn16124;#;Square;JEAN XXIII;Sur l'escalier d'accès au kiosque à musique;35.108;1990;601083.046;127985.437;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.351282841183709, 48.852331634841526]}";48.8523316348,2.35128284118
20289;rn13032;8;Rue du;TEMPLE;Angle rue de la Verrerie sur le BHV;35.986;1983;601203.893;128595.581;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.352931385708155, 48.857818279043094]}";48.857818279,2.35293138571
20297;rn71110;85;Rue de la;CHAPELLE;#;44.134;1988;601626.285;133017.487;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.358705319920505, 48.89758239655454]}";48.8975823966,2.35870531992
20301;rn28001;71;Quai;BRANLY;A l'angle de l'avenue de Suffren;33.632;1983;596686.825;128557.379;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.2913705948567102, 48.85746700226103]}";48.8574670023,2.29137059486
20310;rn61207;1;Rue;VAN LOO;A l'angle du quai Louis Blériot_ Sur le pan coupé;33.711;1994;594971.548;126697.251;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.268017183335866, 48.84072765116497]}";48.8407276512,2.26801718334
