,OBJECTID,NUMERO,IMMEUBLE,DESIGNATION,DENOMINATION,COMPLEMENT,ALTITUDE,ANNEE,X,Y,TYP,geo_shape,geo_point_2d,lat,long
1467,14691,rn63010,181,Rue de la,POMPE,Face à la rue de Sfax,51.16,1994,596094.5079999999,130063.606,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.283283597634348, 48.871008632377276]}","48.8710086324,2.28328359763",48.8710086324,2.28328359763
1468,14732,rn74159,#,Quai de la,CHARENTE,Quai haut_ Sur le parapet_ Face au parc de la Villette,48.078,1987,603501.2170000001,132814.74800000002,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.384276627400105, 48.89575137369854]}","48.8957513737,2.3842766274",48.8957513737,2.3842766274
1469,14748,rn62164,113,Rue de la,TOUR,#,54.453,1994,595539.836,129164.326,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.275732168700186, 48.86291784124951]}","48.8629178412,2.2757321687",48.8629178412,2.2757321687
1470,14760,rn70006,62,Rue,CHAMPIONNET,#,50.678000000000004,1988,600764.197,132820.814,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.34694655888096, 48.89581545052412]}","48.8958154505,2.34694655888",48.8958154505,2.34694655888
1471,14764,rn32055,9,Rue d',AMSTERDAM,Sur la Gare Saint-Lazare à l'angle de la cour du Havre,35.109,1983,599286.512,130640.352,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.326796486256503, 48.87620717244661]}","48.8762071724,2.32679648626",48.8762071724,2.32679648626
1472,14778,rn45135,23,Rue de la,VEGA,#,38.71,1984,605011.793,126479.711,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.404801595532292, 48.838771540303945]}","48.8387715403,2.40480159553",48.8387715403,2.40480159553
1473,14782,rn02059,#,Boulevard de,SEBASTOPOL,Angle rue du Cygne sur l'église Saint-Leu,35.461,1995,601022.441,129162.791,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.350459836562953, 48.862919385541694]}","48.8629193855,2.35045983656",48.8629193855,2.35045983656
1474,14849,rn27053,27,Rue d',ESTREES,A l'angle de la place de Fontenoy,37.563,1983,597853.54,127838.439,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.307274993076911, 48.85100695128191]}","48.8510069513,2.30727499308",48.8510069513,2.30727499308
1475,14853,rn69424,14,Rue du,CAPITAINE MADON,#,54.714,1988,599386.517,132159.00400000002,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.328157484530049, 48.88986413945266]}","48.8898641395,2.32815748453",48.8898641395,2.32815748453
1476,14910,rn75142,22,Rue,EUGENE JUMIN,#,54.292,1992,604094.897,131916.661,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.392364803691811, 48.887671426791876]}","48.8876714268,2.39236480369",48.8876714268,2.39236480369
1477,14914,rn40002,228,Rue du,FAUBOURG SAINT-MARTIN,#,49.773,1986,602085.829,131152.894,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.364963818584045, 48.88081318486414]}","48.8808131849,2.36496381858",48.8808131849,2.36496381858
1478,14935,rn94091,#,Rue de,LAGNY,94-SAINT-MANDE_ face au 132Ter angle rue du commandant l'Hermier,50.521,1988,605860.106,127638.746,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.416375044295155, 48.84918696054379]}","48.8491869605,2.4163750443",48.8491869605,2.4163750443
1479,14937,rn74084,#,Place,AUGUSTE BARON,Sur la pile d'extrémité Sud palée Ouest du boulevard Périphérique,46.016000000000005,1984,603719.136,133334.115,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.387253533749916, 48.90042062895155]}","48.900420629,2.38725353375",48.900420629,2.38725353375
1480,14995,rn38012,46,Rue d',ENGHIEN,#,35.064,1986,600899.358,130213.84599999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.34878446050892, 48.87237145232076]}","48.8723714523,2.34878446051",48.8723714523,2.34878446051
1481,15042,rn79228,#,Rue de la,REUNION,Près du n°129 sur le mur du cimetière du Père Lachaise,70.711,1988,604540.321,128680.39300000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.398402997569395, 48.85856535932111]}","48.8585653593,2.39840299757",48.8585653593,2.39840299757
1482,15049,rn70493,59,Rue,BERTHE,#,98.927,1988,600131.286,131727.958,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.3383140468297903, 48.88598813498213]}","48.885988135,2.33831404683",48.885988135,2.33831404683
