,nodeid,latitude,longitude
662,15035504,48.8222155,2.37542
663,15035509,48.8223183,2.3758291
664,15035510,48.8227129,2.3773635
665,15035512,48.8215271,2.3724729
666,15035514,48.8227762,2.3731528
667,15035516,48.8202488,2.3718269
668,15035518,48.8210158,2.3702865
669,15035519,48.8218553,2.3704392
670,15035521,48.8221241,2.3711678
671,15035522,48.8222851,2.37165
672,15035526,48.8217168,2.3719706
673,15035527,48.8215915,2.3715695
674,15035529,48.8213533,2.3708072
675,15035530,48.8229654,2.377822
676,15035533,48.8253668,2.3749153
677,15035534,48.8255743,2.3745964
678,15035535,48.8275435,2.3703669
679,15035538,48.8258016,2.371827
680,15035539,48.825514,2.3720686
681,15035540,48.8250319,2.3724493
682,15035541,48.825144,2.3719097
683,15035546,48.8236371,2.3725429
684,15035547,48.8241558,2.3755703
685,15035553,48.8244042,2.3764053
686,15035555,48.8261434,2.3669542
687,15035556,48.8232978,2.3684857
688,15035558,48.8256631,2.3610051
689,15035561,48.8262497,2.3633599
690,15035563,48.8268211,2.3650356
691,15035571,48.8252916,2.3626607
692,15035572,48.8256122,2.3620083
693,15035573,48.8233653,2.3709062
694,15035574,48.8241556,2.370388
695,15035575,48.8251513,2.3697652
696,15035576,48.8270589,2.3686792
697,15127444,48.8227921,2.4314336
698,15127457,48.8186289,2.4448098
699,15127458,48.8186625,2.4457428
700,15127463,48.8183823,2.4516376
701,15378799,48.8335325,2.3634124
702,15378800,48.8389187,2.3881454
703,15378802,48.8404351,2.3866216
704,15378803,48.8407552,2.3863058
705,15378804,48.841195,2.3858548
706,15378805,48.8409492,2.3868148
707,15378807,48.8396978,2.3954763
708,15378809,48.8415944,2.3869318
709,15378811,48.8325455,2.3965729
710,15378812,48.8346338,2.3967679
711,15378813,48.8345886,2.3968912
712,15378814,48.8341736,2.3977284
713,15378815,48.8336402,2.3985065
714,15378818,48.8348638,2.3961952
715,15378819,48.8346802,2.3959491
716,15378820,48.8358926,2.394196
717,15378821,48.8364456,2.3930409
718,15378822,48.8366244,2.3931788
719,15378823,48.8332681,2.3989427
720,15378825,48.8371542,2.4021719
721,15378826,48.8384332,2.3987163
722,15378827,48.8381744,2.3994244
723,15378828,48.8375748,2.3983747
724,15378831,48.8362942,2.3989887
725,15378832,48.8358115,2.3996071
726,15378833,48.8361958,2.4003697
727,15378834,48.8386565,2.3962879
728,15378836,48.837249,2.3977892
729,15378840,48.8385607,2.3931833
